"Localidade";"Variável";"2017";"2018";"2019"
"Paranaiguara";"Foco de queimada  (número)";"30";"19";"45"
"Paraúna";"Foco de queimada  (número)";"44";"31";"59"
"Perolândia";"Foco de queimada  (número)";"9";"19";"12"
"Petrolina de Goiás";"Foco de queimada  (número)";"2";"5";"1"
"Pilar de Goiás";"Foco de queimada  (número)";"20";"9";"37"
"Piracanjuba";"Foco de queimada  (número)";"25";"17";"68"
"Piranhas";"Foco de queimada  (número)";"19";"9";"15"
"Pirenópolis";"Foco de queimada  (número)";"48";"7";"23"
"Pires do Rio";"Foco de queimada  (número)";"23";"11";"10"
"Planaltina";"Foco de queimada  (número)";"182";"23";"169"
"Pontalina";"Foco de queimada  (número)";"11";"9";"16"
"Porangatu";"Foco de queimada  (número)";"64";"21";"88"
"Porteirão";"Foco de queimada  (número)";"34";"7";"35"
"Portelândia";"Foco de queimada  (número)";"3";"1";"2"
"Posse";"Foco de queimada  (número)";"30";"27";"38"
"Professor Jamil";"Foco de queimada  (número)";"5";"8";"6"
"Quirinópolis";"Foco de queimada  (número)";"59";"46";"67"
"Rialma";"Foco de queimada  (número)";"8";"12";"10"
"Rianápolis";"Foco de queimada  (número)";"-";"-";"2"
"Rio Quente";"Foco de queimada  (número)";"-";"1";"3"
"Rio Verde";"Foco de queimada  (número)";"141";"59";"223"
"Rubiataba";"Foco de queimada  (número)";"11";"1";"16"
"Sanclerlândia";"Foco de queimada  (número)";"1";"-";"4"
"Santa Bárbara de Goiás";"Foco de queimada  (número)";"-";"1";"1"
"Santa Cruz de Goiás";"Foco de queimada  (número)";"9";"14";"6"
"Santa Fé de Goiás";"Foco de queimada  (número)";"2";"4";"6"
"Santa Helena de Goiás";"Foco de queimada  (número)";"52";"24";"239"
"Santa Isabel";"Foco de queimada  (número)";"10";"7";"13"
"Santa Rita do Araguaia";"Foco de queimada  (número)";"7";"9";"6"
"Santa Rita do Novo Destino";"Foco de queimada  (número)";"23";"5";"14"
"Santa Rosa de Goiás";"Foco de queimada  (número)";"1";"1";"1"
"Santa Tereza de Goiás";"Foco de queimada  (número)";"8";"1";"27"
"Santa Terezinha de Goiás";"Foco de queimada  (número)";"9";"9";"10"
"Santo Antônio da Barra";"Foco de queimada  (número)";"11";"2";"8"
"Santo Antônio de Goiás";"Foco de queimada  (número)";"-";"-";"1"
"Santo Antônio do Descoberto";"Foco de queimada  (número)";"15";"7";"14"
"São Domingos";"Foco de queimada  (número)";"77";"41";"58"
"São Francisco de Goiás";"Foco de queimada  (número)";"11";"11";"2"
"São João d'Aliança";"Foco de queimada  (número)";"112";"55";"108"
"São João da Paraúna";"Foco de queimada  (número)";"4";"1";"9"
"São Luis de Montes Belos";"Foco de queimada  (número)";"4";"8";"1"
"São Luiz do Norte";"Foco de queimada  (número)";"27";"4";"21"
"São Miguel do Araguaia";"Foco de queimada  (número)";"116";"24";"95"
"São Miguel do Passa Quatro";"Foco de queimada  (número)";"4";"5";"5"
"São Patrício";"Foco de queimada  (número)";"1";"-";"2"
"São Simão";"Foco de queimada  (número)";"17";"6";"11"
"Senador Canedo";"Foco de queimada  (número)";"14";"7";"17"
"Serranópolis";"Foco de queimada  (número)";"17";"26";"25"
"Silvânia";"Foco de queimada  (número)";"10";"11";"8"
"Simolândia";"Foco de queimada  (número)";"9";"10";"8"
"Sítio d'Abadia";"Foco de queimada  (número)";"18";"7";"13"
"Taquaral de Goiás";"Foco de queimada  (número)";"-";"-";"8"
"Teresina de Goiás";"Foco de queimada  (número)";"10";"5";"16"
"Terezópolis de Goiás";"Foco de queimada  (número)";"10";"2";"5"
"Três Ranchos";"Foco de queimada  (número)";"1";"4";"1"
"Trindade";"Foco de queimada  (número)";"26";"9";"23"
"Trombas";"Foco de queimada  (número)";"18";"5";"9"
"Turvânia";"Foco de queimada  (número)";"2";"3";"5"
"Turvelândia";"Foco de queimada  (número)";"38";"6";"40"
"Uirapuru";"Foco de queimada  (número)";"5";"5";"3"
"Uruaçu";"Foco de queimada  (número)";"37";"33";"81"
"Uruana";"Foco de queimada  (número)";"5";"8";"14"
"Urutaí";"Foco de queimada  (número)";"6";"5";"-"
"Valparaíso de Goiás";"Foco de queimada  (número)";"1";"3";"2"
"Varjão";"Foco de queimada  (número)";"7";"6";"-"
"Vianópolis";"Foco de queimada  (número)";"2";"5";"10"
"Vicentinópolis";"Foco de queimada  (número)";"5";"40";"21"
"Vila Boa";"Foco de queimada  (número)";"27";"15";"26"
"Vila Propício";"Foco de queimada  (número)";"43";"20";"43"
